iter	Passed	Remaining
0	60	20713
1	118	20068
2	173	19507
3	227	19174
4	277	18654
5	334	18648
6	385	18404
7	440	18336
8	492	18153
9	538	17811
10	583	17493
11	639	17527
12	694	17514
13	769	17981
14	818	17788
15	878	17843
16	943	17990
17	999	17941
18	1063	18022
19	1113	17866
20	1168	17803
21	1217	17652
22	1275	17635
23	1334	17633
24	1384	17498
25	1441	17458
26	1501	17464
27	1561	17456
28	1612	17346
29	1668	17299
30	1713	17136
31	1768	17074
32	1823	17018
33	1875	16932
34	1936	16928
35	1997	16921
36	2049	16841
37	2102	16766
38	2163	16756
39	2218	16695
40	2278	16671
41	2338	16645
42	2399	16627
43	2446	16511
44	2503	16470
45	2562	16433
46	2617	16374
47	2672	16315
48	2727	16255
49	2788	16228
50	2847	16194
51	2898	16109
52	2950	16030
53	3007	15985
54	3060	15912
55	3120	15881
56	3180	15846
57	3241	15817
58	3298	15763
59	3344	15662
60	3403	15622
61	3463	15585
62	3524	15551
63	3582	15506
64	3641	15460
65	3691	15380
66	3752	15344
67	3805	15278
68	3885	15317
69	3937	15242
70	3979	15131
71	4041	15100
72	4091	15019
73	4141	14943
74	4211	14937
75	4261	14860
76	4318	14807
77	4379	14765
78	4448	14754
79	4503	14693
80	4569	14667
81	4618	14587
82	4664	14497
83	4716	14429
84	4762	14342
85	4819	14290
86	4868	14215
87	4911	14119
88	4951	14020
89	5017	13994
90	5070	13930
91	5125	13872
92	5195	13855
93	5254	13806
94	5306	13742
95	5357	13672
96	5412	13614
97	5457	13531
98	5522	13498
99	5577	13442
100	5658	13444
101	5721	13406
102	5769	13331
103	5840	13309
104	5901	13263
105	5968	13231
106	6029	13186
107	6087	13134
108	6161	13113
109	6210	13041
110	6285	13024
111	6334	12951
112	6390	12894
113	6463	12870
114	6529	12830
115	6587	12777
116	6630	12695
117	6689	12642
118	6737	12569
119	6796	12516
120	6860	12473
121	6906	12398
122	6964	12343
123	7024	12292
124	7064	12208
125	7127	12161
126	7168	12078
127	7242	12051
128	7295	11989
129	7356	11939
130	7402	11866
131	7454	11802
132	7525	11769
133	7577	11704
134	7670	11704
135	7767	11708
136	7832	11662
137	7892	11610
138	7948	11551
139	8018	11512
140	8079	11459
141	8141	11408
142	8195	11347
143	8241	11274
144	8281	11194
145	8344	11145
146	8406	11094
147	8473	11049
148	8548	11015
149	8613	10968
150	8706	10954
151	8767	10901
152	8810	10825
153	8857	10755
154	8919	10703
155	8967	10634
156	9014	10564
157	9077	10513
158	9161	10486
159	9210	10419
160	9259	10351
161	9320	10298
162	9355	10216
163	9395	10140
164	9446	10076
165	9494	10009
166	9564	9965
167	9620	9906
168	9689	9861
169	9741	9798
170	9798	9740
171	9871	9699
172	9905	9619
173	9955	9554
174	10027	9511
175	10089	9458
176	10129	9385
177	10190	9331
178	10300	9322
179	10349	9257
180	10408	9201
181	10482	9157
182	10538	9098
183	10613	9056
184	10685	9010
185	10753	8961
186	10806	8899
187	10877	8852
188	10948	8805
189	11015	8754
190	11102	8719
191	11190	8684
192	11282	8652
193	11363	8610
194	11407	8540
195	11491	8501
196	11546	8440
197	11615	8388
198	11662	8321
199	11717	8260
200	11791	8213
201	11890	8181
202	11957	8128
203	12044	8088
204	12122	8042
205	12176	7979
206	12236	7921
207	12286	7856
208	12354	7802
209	12405	7738
210	12481	7690
211	12527	7622
212	12572	7555
213	12648	7506
214	12716	7452
215	12777	7394
216	12824	7328
217	12865	7258
218	12937	7206
219	13019	7160
220	13103	7115
221	13163	7056
222	13224	6997
223	13327	6961
224	13378	6897
225	13473	6856
226	13549	6804
227	13626	6753
228	13691	6696
229	13760	6641
230	13820	6581
231	13891	6526
232	13977	6478
233	14038	6419
234	14121	6369
235	14183	6310
236	14219	6239
237	14307	6191
238	14348	6123
239	14409	6063
240	14463	6001
241	14549	5951
242	14619	5896
243	14687	5838
244	14760	5783
245	14878	5745
246	14944	5687
247	14999	5624
248	15071	5568
249	15178	5524
250	15270	5475
251	15334	5415
252	15412	5361
253	15492	5306
254	15604	5262
255	15658	5199
256	15776	5156
257	15828	5092
258	15921	5040
259	16009	4987
260	16078	4928
261	16140	4866
262	16206	4806
263	16255	4741
264	16295	4673
265	16334	4605
266	16378	4539
267	16438	4477
268	16500	4416
269	16556	4353
270	16620	4293
271	16690	4233
272	16787	4181
273	16855	4121
274	16890	4053
275	16934	3988
276	16988	3925
277	17048	3863
278	17102	3800
279	17162	3738
280	17251	3683
281	17357	3631
282	17540	3594
283	17608	3534
284	17648	3467
285	17717	3407
286	17790	3347
287	17861	3286
288	17944	3228
289	18008	3167
290	18072	3105
291	18125	3041
292	18177	2977
293	18231	2914
294	18289	2851
295	18339	2788
296	18402	2726
297	18445	2661
298	18491	2597
299	18531	2532
300	18576	2468
301	18658	2409
302	18708	2346
303	18797	2287
304	18867	2227
305	18951	2167
306	19003	2104
307	19051	2041
308	19105	1978
309	19162	1916
310	19236	1855
311	19297	1793
312	19349	1730
313	19423	1670
314	19503	1609
315	19562	1547
316	19619	1485
317	19679	1423
318	19743	1361
319	19793	1298
320	19838	1236
321	19895	1173
322	19976	1113
323	20028	1050
324	20076	988
325	20126	926
326	20191	864
327	20258	802
328	20306	740
329	20339	677
330	20394	616
331	20472	554
332	20520	492
333	20592	431
334	20649	369
335	20709	308
336	20783	246
337	20831	184
338	20871	123
339	20908	61
340	20955	0
