"DATE","TIME PERIOD","CET1 capital, SIs (SUP.Q.FR.W0._Z.O1100._T.SII._Z.ALL.LE.E.C)"
"2015-06-30","2015Q2","286.7503"
"2015-09-30","2015Q3","285.1902"
"2015-12-31","2015Q4","298.1764"
"2016-03-31","2016Q1","307.3478"
"2016-06-30","2016Q2","312.8327"
"2016-09-30","2016Q3","315.5785"
"2016-12-31","2016Q4","331.0332"
"2017-03-31","2017Q1","330.4429"
"2017-06-30","2017Q2","328.6667"
"2017-09-30","2017Q3","325.9312"
"2017-12-31","2017Q4","337.1402"
"2018-03-31","2018Q1","332.6110"
"2018-06-30","2018Q2","337.9976"
"2018-09-30","2018Q3","339.4742"
"2018-12-31","2018Q4","351.2107"
"2019-03-31","2019Q1","358.1628"
"2019-06-30","2019Q2","364.2067"
"2019-09-30","2019Q3","367.3095"
"2019-12-31","2019Q4","385.8120"
"2020-03-31","2020Q1","378.4123"
"2020-06-30","2020Q2","392.2056"
"2020-09-30","2020Q3","394.4704"
"2020-12-31","2020Q4","411.9922"
"2021-03-31","2021Q1","413.1407"
"2021-06-30","2021Q2","420.2332"
"2021-09-30","2021Q3","419.2868"
"2021-12-31","2021Q4","429.4974"
"2022-03-31","2022Q1","420.8308"
"2022-06-30","2022Q2","419.8481"
"2022-09-30","2022Q3","415.2828"
"2022-12-31","2022Q4","434.0623"
"2023-03-31","2023Q1","444.2046"
"2023-06-30","2023Q2","452.3911"
"2023-09-30","2023Q3","448.4318"
"2023-12-31","2023Q4","457.8261"
"2024-03-31","2024Q1","458.4906"
"2024-06-30","2024Q2","461.7218"
"2024-09-30","2024Q3","459.9891"
"2024-12-31","2024Q4","473.0272"
