"DATE","TIME PERIOD","CET1 capital, SIs (SUP.Q.DE.W0._Z.O1100._T.SII._Z.ALL.LE.E.C)"
"2015-06-30","2015Q2","168.9148"
"2015-09-30","2015Q3","164.3765"
"2015-12-31","2015Q4","199.9933"
"2016-03-31","2016Q1","192.5293"
"2016-06-30","2016Q2","193.7693"
"2016-09-30","2016Q3","191.8465"
"2016-12-31","2016Q4","192.5008"
"2017-03-31","2017Q1","190.4748"
"2017-06-30","2017Q2","190.2548"
"2017-09-30","2017Q3","191.5656"
"2017-12-31","2017Q4","190.6642"
"2018-03-31","2018Q1","183.9355"
"2018-06-30","2018Q2","185.4790"
"2018-09-30","2018Q3","185.6998"
"2018-12-31","2018Q4","185.9855"
"2019-03-31","2019Q1","188.5058"
"2019-06-30","2019Q2","168.5860"
"2019-09-30","2019Q3","170.6612"
"2019-12-31","2019Q4","174.6506"
"2020-03-31","2020Q1","172.9690"
"2020-06-30","2020Q2","177.3456"
"2020-09-30","2020Q3","180.4498"
"2020-12-31","2020Q4","190.2149"
"2021-03-31","2021Q1","190.9420"
"2021-06-30","2021Q2","197.4883"
"2021-09-30","2021Q3","197.2339"
"2021-12-31","2021Q4","199.9094"
"2022-03-31","2022Q1","205.5533"
"2022-06-30","2022Q2","205.9486"
"2022-09-30","2022Q3","203.0985"
"2022-12-31","2022Q4","211.8952"
"2023-03-31","2023Q1","215.8390"
"2023-06-30","2023Q2","222.8966"
"2023-09-30","2023Q3","224.0447"
"2023-12-31","2023Q4","230.5483"
"2024-03-31","2024Q1","233.7978"
"2024-06-30","2024Q2","235.2303"
"2024-09-30","2024Q3","254.0175"
"2024-12-31","2024Q4","259.6148"
