"DATE","TIME PERIOD","CET1 capital, SIs (SUP.Q.ES.W0._Z.O1100._T.SII._Z.ALL.LE.E.C)"
"2015-06-30","2015Q2","194.1523"
"2015-09-30","2015Q3","193.8403"
"2015-12-31","2015Q4","198.5348"
"2016-03-31","2016Q1","191.5414"
"2016-06-30","2016Q2","196.5360"
"2016-09-30","2016Q3","198.2192"
"2016-12-31","2016Q4","195.8342"
"2017-03-31","2017Q1","188.4351"
"2017-06-30","2017Q2","177.0818"
"2017-09-30","2017Q3","183.8033"
"2017-12-31","2017Q4","180.8274"
"2018-03-31","2018Q1","169.0313"
"2018-06-30","2018Q2","166.1502"
"2018-09-30","2018Q3","166.7089"
"2018-12-31","2018Q4","169.8505"
"2019-03-31","2019Q1","171.5238"
"2019-06-30","2019Q2","173.0597"
"2019-09-30","2019Q3","175.6747"
"2019-12-31","2019Q4","177.7617"
"2020-03-31","2020Q1","171.3333"
"2020-06-30","2020Q2","172.5531"
"2020-09-30","2020Q3","171.3690"
"2020-12-31","2020Q4","178.2963"
"2021-03-31","2021Q1","177.8431"
"2021-06-30","2021Q2","178.6478"
"2021-09-30","2021Q3","176.8449"
"2021-12-31","2021Q4","175.1277"
"2022-03-31","2022Q1","176.7424"
"2022-06-30","2022Q2","176.3226"
"2022-09-30","2022Q3","178.6765"
"2022-12-31","2022Q4","178.5174"
"2023-03-31","2023Q1","182.6074"
"2023-06-30","2023Q2","184.1538"
"2023-09-30","2023Q3","184.6488"
"2023-12-31","2023Q4","186.3493"
"2024-03-31","2024Q1","190.9297"
"2024-06-30","2024Q2","191.5188"
"2024-09-30","2024Q3","192.4231"
"2024-12-31","2024Q4","196.4910"
